CDTA2020,annee_fin_observation,# of Dwelling Units,Infested Dwelling Unit Count,Eradicated Unit Count,Re-infested  Dwelling Unit Count,taux_infestation,taux_eradication,taux_reinfestation,Borough,pop_num,population_density,pop_pov_pct,pop_pov_u18_pct,pop_65p_pct,unit_num,unit_occ_own_pct,rent_burden_med,med_r_1f,med_r_4f,med_r_cn,med_r_ot,rent_gross_med_adj
QN06,2023,47404.0,88.0,87.0,12.0,0.0009316377770328128,0.000921261103794253,7.856475401617221e-05,QUEENS,128592.0,459.0,0.106,0.114,0.212,58588.0,0.447,33.8,1086000.0,518330.0,565000.0,159240.0,1900.0
QN06,2024,37737.0,72.0,67.0,2.0,0.0013389694809957697,0.0011941170194632114,2.7663183782592358e-05,QUEENS,128592.0,459.0,0.106,0.114,0.212,58588.0,0.447,33.8,1086000.0,518330.0,565000.0,159240.0,1900.0
QN07,2018,32593.0,309.0,291.0,33.0,0.009185588919734646,0.008857948183467385,0.0005349990707869248,QUEENS,239000.0,203.0,0.14300000000000002,0.15,0.214,93313.0,0.47100000000000003,42.6,1058460.0,588360.0,802330.0,365160.0,1790.0
QN07,2019,28758.0,223.0,190.0,18.0,0.006384050575075965,0.004100868674281612,0.0006721058356007108,QUEENS,239869.0,204.0,0.14800000000000002,0.18100000000000002,0.217,98172.0,0.441,39.4,1041820.0,616410.0,729280.0,266970.0,1810.0
QN07,2020,61098.0,304.0,276.0,67.0,0.006884056677938279,0.006021459714953326,0.0045778896990284965,QUEENS,242765.0,206.0,0.171,0.217,0.24,98610.0,0.522,39.5,1024310.0,601310.0,764870.0,261630.0,1890.0
QN07,2021,66793.0,285.0,276.0,96.0,0.0065810086708228,0.0065011108780719945,0.004202892509112977,QUEENS,242765.0,206.0,0.171,0.217,0.24,98610.0,0.522,39.5,1035490.0,636050.0,662200.0,261630.0,1830.0
QN07,2022,70026.0,173.0,156.0,50.0,0.008549306006754584,0.0069357384353112735,0.005138797621047133,QUEENS,246851.0,21.0,0.159,0.198,0.26,101672.0,0.49700000000000005,34.9,1027850.0,622940.0,629020.0,221490.0,1730.0
QN07,2023,75202.0,252.0,250.0,38.0,0.006277915650725753,0.006204182931831744,0.004022265568127187,QUEENS,246851.0,21.0,0.159,0.198,0.26,101672.0,0.49700000000000005,34.9,962500.0,574500.0,675000.0,222500.0,1730.0
QN07,2024,56861.0,64.0,62.0,3.0,0.0008077505678733831,0.0007950528212862667,2.5608194622279128e-05,QUEENS,246851.0,21.0,0.159,0.198,0.26,101672.0,0.49700000000000005,34.9,962500.0,574500.0,675000.0,222500.0,1730.0
QN08,2018,22117.0,219.0,211.0,24.0,0.00842355004667812,0.008290067700777726,0.0009883384812585474,QUEENS,164615.0,221.0,0.13,0.159,0.154,58181.0,0.48200000000000004,34.0,1000210.0,529520.0,582470.0,372630.0,1780.0
QN08,2019,34265.0,180.0,175.0,24.0,0.007586614054907754,0.007469263611639484,0.0021626810442891588,QUEENS,168471.0,226.0,0.115,0.105,0.16399999999999998,61550.0,0.435,29.7,989730.0,543770.0,557090.0,154510.0,1790.0
QN08,2020,39183.0,142.0,138.0,10.0,0.00750538312212794,0.006563945377716218,0.0019293662416338996,QUEENS,163732.0,22.0,0.135,0.146,0.182,60914.0,0.47100000000000003,29.8,967410.0,516860.0,472320.0,368900.0,1990.0
QN08,2021,96446.0,163.0,162.0,13.0,0.008260819766793964,0.008249924621670632,0.0025592226747573987,QUEENS,163732.0,22.0,0.135,0.146,0.182,60914.0,0.47100000000000003,29.8,1001350.0,550240.0,490210.0,309360.0,1830.0
